Inventory ,,,,,,,,,,,,,,,,,,
System Name,IP Address,System Status,Product Type,Product SubType,Product ID,Product Model,Serial Number,Serial Number (Logical),Asset Tag,Memory Size (KB),ROM Version,Operating System Name,Operating System Vendor,Server Role,Location,System Owner,System Boot Up Time,Number Of CPU
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,44:1E:A1:50:64:A3,,,,0.0 bps,HalfDuplex or Unknown,441EA15064A3,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-001.win.cccis.com,Device vmnic4 at 02:00.6 be2net,44:1e:a1:50:64:a3,,0,0,0.0 bps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Device vmnic5 at 02:00.7 be2net,44:1e:a1:50:64:a7,,0,0,0.0 bps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,44:1E:A1:50:64:A7,,,,0.0 bps,HalfDuplex or Unknown,441EA15064A7,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:0C,,,,1.0 Gbps,FullDuplex,0017A477100C,,,,,,,1000BaseT,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:0E,,,,1.0 Gbps,FullDuplex,0017A477100E,,,,,,,1000BaseT,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:10,,,,1.0 Gbps,FullDuplex,0017A4771010,,,,,,,1000BaseT,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:12,,,,1.0 Gbps,FullDuplex,0017A4771012,,,,,,,1000BaseT,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:14,,,,705.0327 Mbps,FullDuplex,0017A4771014,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:16,,,,705.0327 Mbps,FullDuplex,0017A4771016,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:18,,,,705.0327 Mbps,FullDuplex,0017A4771018,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:1A,,,,705.0327 Mbps,FullDuplex,0017A477101A,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,2C:76:8A:82:43:A3,,,,0.0 bps,HalfDuplex or Unknown,2C768A8243A3,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,2C:76:8A:82:43:A7,,,,0.0 bps,HalfDuplex or Unknown,2C768A8243A7,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,44:1E:A1:50:B9:FB,,,,0.0 bps,HalfDuplex or Unknown,441EA150B9FB,,,,,,,Unknown,,,
dg-esxi-002.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,44:1E:A1:50:B9:FF,,,,0.0 bps,HalfDuplex or Unknown,441EA150B9FF,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:34,,,,1.0 Gbps,FullDuplex,0017A4771034,,,,,,,1000BaseT,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:36,,,,1.0 Gbps,FullDuplex,0017A4771036,,,,,,,1000BaseT,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:38,,,,1.0 Gbps,FullDuplex,0017A4771038,,,,,,,1000BaseT,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:3A,,,,1.0 Gbps,FullDuplex,0017A477103A,,,,,,,1000BaseT,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:3C,,,,705.0327 Mbps,FullDuplex,0017A477103C,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:3E,,,,705.0327 Mbps,FullDuplex,0017A477103E,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:40,,,,705.0327 Mbps,FullDuplex,0017A4771040,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,00:17:A4:77:10:42,,,,705.0327 Mbps,FullDuplex,0017A4771042,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,2C:76:8A:82:32:3B,,,,0.0 bps,HalfDuplex or Unknown,2C768A82323B,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553m 10Gb 2-port FlexFabric Converged Network Adapter,2C:76:8A:82:32:3F,,,,0.0 bps,HalfDuplex or Unknown,2C768A82323F,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,44:1E:A1:50:59:F3,,,,0.0 bps,HalfDuplex or Unknown,441EA15059F3,,,,,,,Unknown,,,
dg-esxi-003.win.cccis.com,ServerEngines Corp. NC553i 10Gb 2-port FlexFabric Converged Network Adapter,44:1E:A1:50:59:F7,,,,0.0 bps,HalfDuplex or Unknown,441EA15059F7,,,,,,,Unknown,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:48,,,,1.0 Gbps,FullDuplex,0017A4771048,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:4A,,,,1.0 Gbps,FullDuplex,0017A477104A,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:4C,,,,1.0 Gbps,FullDuplex,0017A477104C,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:4E,,,,1.0 Gbps,FullDuplex,0017A477104E,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:50,,,,5.0 Gbps,FullDuplex,0017A4771050,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:52,,,,5.0 Gbps,FullDuplex,0017A4771052,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:54,,,,5.0 Gbps,FullDuplex,0017A4771054,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:56,,,,5.0 Gbps,FullDuplex,0017A4771056,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,2C:76:8A:82:50:5B,,,,0.0 bps,HalfDuplex or Unknown,2C768A82505B,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,2C:76:8A:82:50:5F,,,,0.0 bps,HalfDuplex or Unknown,2C768A82505F,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,44:1E:A1:50:69:9B,,,,0.0 bps,HalfDuplex or Unknown,441EA150699B,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-004.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,44:1E:A1:50:69:9F,,,,0.0 bps,HalfDuplex or Unknown,441EA150699F,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-005.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:5C,,,,1.0 Gbps,FullDuplex,0017A477105C,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-005.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:5E,,,,1.0 Gbps,FullDuplex,0017A477105E,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
